211.238.142.139 - - [07/Apr/2020:08:53:38 +0900] "GET / HTTP/1.0" 404 750
0:0:0:0:0:0:0:1 - - [07/Apr/2020:09:01:25 +0900] "GET /MVCLastProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2020:09:01:25 +0900] "GET /MVCLastProject/main/main.do HTTP/1.1" 200 23731
0:0:0:0:0:0:0:1 - - [07/Apr/2020:09:01:25 +0900] "GET /MVCLastProject/main/layout/styles/layout.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2020:09:01:25 +0900] "GET /MVCLastProject/main/images/demo/slides/b1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2020:09:01:26 +0900] "GET /MVCLastProject/main/layout/scripts/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2020:09:01:26 +0900] "GET /MVCLastProject/main/layout/scripts/jquery.backtotop.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2020:09:01:26 +0900] "GET /MVCLastProject/main/layout/scripts/jquery.mobilemenu.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2020:09:01:26 +0900] "GET /MVCLastProject/main/layout/scripts/jquery.flexslider-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2020:09:01:26 +0900] "GET /MVCLastProject/main/layout/styles/fontawesome-4.3.0.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2020:09:01:26 +0900] "GET /MVCLastProject/main/layout/styles/framework.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2020:09:01:26 +0900] "GET /MVCLastProject/main/layout/styles/custom.flexslider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2020:09:01:26 +0900] "GET /MVCLastProject/main/layout/styles/fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2020:09:01:28 +0900] "GET /MVCLastProject/main/main.do HTTP/1.1" 200 23678
0:0:0:0:0:0:0:1 - - [07/Apr/2020:09:01:31 +0900] "GET /MVCLastProject/main/main.do HTTP/1.1" 200 23770
0:0:0:0:0:0:0:1 - - [07/Apr/2020:09:01:45 +0900] "GET /MVCLastProject/recipe/recipe.do HTTP/1.1" 200 22653
0:0:0:0:0:0:0:1 - - [07/Apr/2020:09:01:49 +0900] "GET /MVCLastProject/recipe/recipe.do?page=%2010 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Apr/2020:09:01:52 +0900] "GET /MVCLastProject/recipe/recipe.do?page=11 HTTP/1.1" 200 22787
0:0:0:0:0:0:0:1 - - [07/Apr/2020:09:01:54 +0900] "GET /MVCLastProject/recipe/recipe.do?page=21 HTTP/1.1" 200 22787
0:0:0:0:0:0:0:1 - - [07/Apr/2020:09:01:59 +0900] "GET /MVCLastProject/recipe/chef.do HTTP/1.1" 200 37064
0:0:0:0:0:0:0:1 - - [07/Apr/2020:09:01:59 +0900] "GET /MVCLastProject/recipe/image/1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2020:09:01:59 +0900] "GET /MVCLastProject/recipe/image/3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2020:09:01:59 +0900] "GET /MVCLastProject/recipe/image/7.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2020:09:01:59 +0900] "GET /MVCLastProject/recipe/image/2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2020:09:02:06 +0900] "GET /MVCLastProject/recipe/recipe.do?page=%2026 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Apr/2020:09:02:09 +0900] "GET /MVCLastProject/recipe/recipe.do?page=%2029 HTTP/1.1" 200 -
127.0.0.1 - - [07/Apr/2020:09:29:18 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [07/Apr/2020:09:29:20 +0900] "GET /MVCLastProject/main/main.do HTTP/1.1" 200 11930
0:0:0:0:0:0:0:1 - - [07/Apr/2020:09:29:24 +0900] "GET /MVCLastProject/main/main.do HTTP/1.1" 200 11930
